2023-06-30 12:19:41,367 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Current SDK version is 0.15.4
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Configure stats pid to 5980
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Loading settings from /home/codespace/.config/wandb/settings
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Loading settings from /workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/wandb/settings
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/download_data.py', 'program': '/workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/download_data.py'}
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_init.py:_log_setup():507] Logging user logs to /workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/wandb/run-20230630_121941-44k16qhn/logs/debug.log
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_init.py:_log_setup():508] Logging internal logs to /workspaces/building-a-reproducible-model-workflow-exercises/lesson-1-machine-learning-pipelines/exercises/exercise_2/starter/wandb/run-20230630_121941-44k16qhn/logs/debug-internal.log
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_init.py:init():547] calling init triggers
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_init.py:init():554] wandb.init called with sweep_config: {}
config: {}
2023-06-30 12:19:41,368 INFO    MainThread:5980 [wandb_init.py:init():596] starting backend
2023-06-30 12:19:41,369 INFO    MainThread:5980 [wandb_init.py:init():600] setting up manager
2023-06-30 12:19:41,370 INFO    MainThread:5980 [backend.py:_multiprocessing_setup():106] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2023-06-30 12:19:41,374 INFO    MainThread:5980 [wandb_init.py:init():606] backend started and connected
2023-06-30 12:19:41,376 INFO    MainThread:5980 [wandb_init.py:init():703] updated telemetry
2023-06-30 12:19:41,383 INFO    MainThread:5980 [wandb_init.py:init():736] communicating run to backend with 60.0 second timeout
2023-06-30 12:19:41,775 INFO    MainThread:5980 [wandb_run.py:_on_init():2176] communicating current version
2023-06-30 12:19:41,832 INFO    MainThread:5980 [wandb_run.py:_on_init():2185] got version response 
2023-06-30 12:19:41,832 INFO    MainThread:5980 [wandb_init.py:init():787] starting run threads in backend
2023-06-30 12:19:41,879 INFO    MainThread:5980 [wandb_run.py:_console_start():2155] atexit reg
2023-06-30 12:19:41,880 INFO    MainThread:5980 [wandb_run.py:_redirect():2010] redirect: SettingsConsole.WRAP_RAW
2023-06-30 12:19:41,880 INFO    MainThread:5980 [wandb_run.py:_redirect():2075] Wrapping output streams.
2023-06-30 12:19:41,880 INFO    MainThread:5980 [wandb_run.py:_redirect():2100] Redirects installed.
2023-06-30 12:19:41,881 INFO    MainThread:5980 [wandb_init.py:init():828] run started, returning control to user process
2023-06-30 12:19:44,664 INFO    MainThread:5980 [wandb_run.py:_finish():1890] finishing run dphedderich/exercise_2/44k16qhn
2023-06-30 12:19:44,665 INFO    MainThread:5980 [wandb_run.py:_atexit_cleanup():2124] got exitcode: 0
2023-06-30 12:19:44,665 INFO    MainThread:5980 [wandb_run.py:_restore():2107] restore
2023-06-30 12:19:44,665 INFO    MainThread:5980 [wandb_run.py:_restore():2113] restore done
2023-06-30 12:19:50,725 INFO    MainThread:5980 [wandb_run.py:_footer_history_summary_info():3467] rendering history
2023-06-30 12:19:50,725 INFO    MainThread:5980 [wandb_run.py:_footer_history_summary_info():3499] rendering summary
2023-06-30 12:19:50,728 INFO    MainThread:5980 [wandb_run.py:_footer_sync_info():3426] logging synced files
